,대지위치,건물명,연면적,주용도코드,주용도코드명,사용승인일
5559,인천광역시 부평구 부평동 534-8번지,,48.42,01000,단독주택,19850528.0
5560,인천광역시 부평구 부평동 534-8번지,,55.86,01000,단독주택,19850528.0
5561,인천광역시 부평구 부평동 534-91번지,,802.8,01000,단독주택,19900629.0
5562,인천광역시 부평구 부평동 534-92번지,임탑 주상복합아파트,4783.84,02000,공동주택,20110930.0
5563,인천광역시 부평구 부평동 534-96번지,부평두산위브아파트,16514.065,02000,공동주택,20050225.0
5564,인천광역시 부평구 부평동 534-96번지,부평두산위브아파트,9077.305,02000,공동주택,20050225.0
5565,인천광역시 부평구 부평동 534-96번지,부평두산위브아파트,3689.02,02000,공동주택,20050225.0
5566,인천광역시 부평구 부평동 534-96번지,부평두산위브아파트,7795.59,02000,공동주택,20050225.0
5567,인천광역시 부평구 부평동 534-96번지,부평두산위브아파트,9.24,02000,공동주택,20050225.0
5568,인천광역시 부평구 부평동 534-96번지,부평두산위브아파트,146.16,02000,공동주택,20050225.0
5569,인천광역시 부평구 부평동 534-96번지,부평두산위브아파트,10307.13,02000,공동주택,20050225.0
5570,인천광역시 부평구 부평동 534-9번지,,367.32,14000,업무시설,20160329.0
5571,인천광역시 부평구 부평동 534번지,,28.43,01000,단독주택,19670910.0
5572,인천광역시 부평구 부평동 535-2번지,,53.22,01000,단독주택,
5573,인천광역시 부평구 부평동 535번지,,49.59,01000,단독주택,
5574,인천광역시 부평구 부평동 535번지,,49.59,01000,단독주택,
5575,인천광역시 부평구 부평동 535번지,,19.83,01000,단독주택,
5576,인천광역시 부평구 부평동 535번지,,49.59,01000,단독주택,
5577,인천광역시 부평구 부평동 535번지,,49.59,01000,단독주택,
5578,인천광역시 부평구 부평동 538번지,,33.95,01000,단독주택,
5579,인천광역시 부평구 부평동 539-2번지,부평 현대 더 로프트,69181.787,14000,업무시설,20080130.0
5580,인천광역시 부평구 부평동 54-3번지,부평쌍용플래티넘,13615.03,14000,업무시설,20040325.0
5581,인천광역시 부평구 부평동 54-3번지,부평쌍용플래티넘,9.08,14000,업무시설,20040325.0
5582,인천광역시 부평구 부평동 541번지,,21.48,01000,단독주택,
5583,인천광역시 부평구 부평동 541번지,,19.17,01000,단독주택,
5584,인천광역시 부평구 부평동 542-15번지,,35.62,01000,단독주택,19850724.0
5585,인천광역시 부평구 부평동 542-15번지,,29.42,01000,단독주택,
5587,인천광역시 부평구 부평동 542-16번지,,130.23,01000,단독주택,
5588,인천광역시 부평구 부평동 542-16번지,,59.5,01000,단독주택,
5589,인천광역시 부평구 부평동 542-16번지,,63.9,01000,단독주택,19760529.0
5590,인천광역시 부평구 부평동 542-16번지,,26.78,01000,단독주택,
5591,인천광역시 부평구 부평동 542-16번지,,84.09,01000,단독주택,
5592,인천광역시 부평구 부평동 542-17번지,,64.09,01000,단독주택,19850801.0
5593,인천광역시 부평구 부평동 542-17번지,광우빌라,526.99,02000,공동주택,20010604.0
5600,인천광역시 부평구 부평동 542-19번지,,368.73,04000,제2종근린생활시설,20100615.0
5601,인천광역시 부평구 부평동 542-20번지,,35.7,04000,제2종근린생활시설,20031111.0
5602,인천광역시 부평구 부평동 542-21번지,,1135.66,04000,제2종근린생활시설,19860922.0
5603,인천광역시 부평구 부평동 542-27번지,,921.575,03000,제1종근린생활시설,19861212.0
5604,인천광역시 부평구 부평동 542-28번지,,545.12,04000,제2종근린생활시설,19861028.0
5605,인천광역시 부평구 부평동 542-29번지,,44.63,01000,단독주택,
5606,인천광역시 부평구 부평동 542-29번지,,27.27,01000,단독주택,
5607,인천광역시 부평구 부평동 542-29번지,,43.97,01000,단독주택,
5608,인천광역시 부평구 부평동 542-2번지,,453.11,01000,단독주택,20191105.0
5609,인천광역시 부평구 부평동 542-41번지,,1860.37,04000,제2종근린생활시설,19930820.0
