대지위치,건물명,연면적,주용도코드,주용도코드명,사용승인일
인천광역시 부평구 부평동 208-4번지,삼오빌라,458.62,02000,공동주택,20020313.0
인천광역시 부평구 부평동 208-7번지,더존하이빌,498.38,02000,공동주택,20090717.0
인천광역시 부평구 부평동 208-8번지,,83.33,01000,단독주택,
인천광역시 부평구 부평동 208-9번지,삼오아트빌,628.9,02000,공동주택,20030129.0
인천광역시 부평구 부평동 209-1번지,로렌.하이뷰,4648.59,02000,공동주택,20150618.0
인천광역시 부평구 부평동 209-2번지,,907.81,02000,공동주택,20020823.0
인천광역시 부평구 부평동 209-3번지,HB엘림캐슬,5314.59,14000,업무시설,20170928.0
인천광역시 부평구 부평동 209-4번지,승림맨션,557.48,02000,공동주택,20010927.0
인천광역시 부평구 부평동 209-6번지,,622.92,02000,공동주택,20020824.0
인천광역시 부평구 부평동 209-7번지,,355.26,01000,단독주택,19960226.0
인천광역시 부평구 부평동 210-10번지,,306.91,01000,단독주택,
인천광역시 부평구 부평동 210-11번지,,80.9,01000,단독주택,19740928.0
인천광역시 부평구 부평동 210-14번지,,431.4,03000,제1종근린생활시설,19711130.0
인천광역시 부평구 부평동 210-15번지,,53.88,01000,단독주택,19711103.0
인천광역시 부평구 부평동 210-18번지,,165.28,03000,제1종근린생활시설,19691216.0
인천광역시 부평구 부평동 210-1번지,,148.9,03000,제1종근린생활시설,
인천광역시 부평구 부평동 210-21번지,,124.62,01000,단독주택,19711130.0
인천광역시 부평구 부평동 210-22번지,,29.92,03000,제1종근린생활시설,
인천광역시 부평구 부평동 210-22번지,,51.43,03000,제1종근린생활시설,19721102.0
인천광역시 부평구 부평동 210-23번지,,60.17,03000,제1종근린생활시설,19711130.0
인천광역시 부평구 부평동 210-25번지,,325.62,01000,단독주택,19711130.0
인천광역시 부평구 부평동 210-26번지,,76.7,01000,단독주택,19711130.0
인천광역시 부평구 부평동 210-27번지,,431.4,01000,단독주택,
인천광역시 부평구 부평동 210-28번지,,60.5,01000,단독주택,
인천광역시 부평구 부평동 210-29번지,,49.57,01000,단독주택,19711130.0
인천광역시 부평구 부평동 210-29번지,,40.09,01000,단독주택,19711130.0
인천광역시 부평구 부평동 210-2번지,풀하우스,19819.04,14000,업무시설,20200806.0
인천광역시 부평구 부평동 210-30번지,,572.54,03000,제1종근린생활시설,19720905.0
인천광역시 부평구 부평동 210-31번지,,33.39,03000,제1종근린생활시설,19720925.0
인천광역시 부평구 부평동 210-32번지,,280.0,03000,제1종근린생활시설,
인천광역시 부평구 부평동 210-35번지,,36.05,03000,제1종근린생활시설,19711130.0
인천광역시 부평구 부평동 210-37번지,,49.6,01000,단독주택,19711130.0
인천광역시 부평구 부평동 210-38번지,,44.29,01000,단독주택,19711130.0
인천광역시 부평구 부평동 210-49번지,,97.2,04000,제2종근린생활시설,19760914.0
인천광역시 부평구 부평동 210-50번지,,93.45,01000,단독주택,
인천광역시 부평구 부평동 210-51번지,,272.74,04000,제2종근린생활시설,19851219.0
인천광역시 부평구 부평동 210-52번지,,87.38,01000,단독주택,19851127.0
