연번,아파트명,소재지지번주소,소재지도로명주소,층수,동수,세대수,사용검사,데이터기준일자
104,팬더,인천광역시 부평구 갈산2동 369,인천광역시 부평구 갈월동로 34,18,2,280,1993-05-12,2021-09-28
105,갈산주공1단지(근로복지),인천광역시 부평구 갈산2동 359,인천광역시 부평구 굴포로 81,15,9,1650,1992-06-29,2021-09-28
106,갈산주공2단지(임대),인천광역시 부평구 갈산2동 360,인천광역시 부평구 주부토로 206,15,5,1170,1992-05-30,2021-09-28
107,대동1차,인천광역시 부평구 갈산2동 361-4,인천광역시 부평구 주부토로 193,15,5,420,1992-11-27,2021-09-28
108,대동2차,인천광역시 부평구 갈산2동 361-3,인천광역시 부평구 주부토로 201,18,4,623,1993-05-07,2021-09-28
109,삼성홈타운(호림재건축),인천광역시 부평구 갈산동 182-1,인천광역시 부평구 부평대로246번길 7,19,1,125,2011-07-01,2021-09-28
110,동남,인천광역시 부평구 삼산1동 206-2,인천광역시 부평구 후정동로25번길 3-10,6,2,138,1989-12-07,2021-09-28
111,정광,인천광역시 부평구 삼산1동 205,인천광역시 부평구 후정동로 17,6,3,240,1989-05-16,2021-09-28
112,한국,인천광역시 부평구 삼산1동 254,인천광역시 부평구 평천로 395,6,3,174,1990-08-07,2021-09-28
113,주공(임대),인천광역시 부평구 삼산1동 157,인천광역시 부평구 평천로 447,15,6,1764,1991-08-26,2021-09-28
114,삼보,인천광역시 부평구 삼산1동 57,인천광역시 부평구 후정동로 43,15,3,630,1990-11-23,2021-09-28
115,부영,인천광역시 부평구 삼산1동 74-2,인천광역시 부평구 후정로 35,5,6,280,1984-08-30,2021-09-28
116,대보,인천광역시 부평구 삼산1동 191,인천광역시 부평구 후정동로 5,5,9,340,1985-05-03,2021-09-28
117,광명12차,인천광역시 부평구 삼산1동 359,인천광역시 부평구 후정동로 63,6,6,456,1990-07-02,2021-09-28
118,광명13차,인천광역시 부평구 삼산1동 359-2,인천광역시 부평구 후정동로 68,6,3,168,1990-10-30,2021-09-28
119,현대,인천광역시 부평구 삼산1동 40-1,인천광역시 부평구 부평북로 407,25,2,330,1995-05-17,2021-09-28
120,삼산주공미래타운5,인천광역시 부평구 삼산1동 393-4,인천광역시 부평구 영성중로 16,20,9,620,2000-05-06,2021-09-28
121,삼산주공미래타운1,인천광역시 부평구 삼산1동 387-2,인천광역시 부평구 부평북로 431,20,7,608,2000-06-07,2021-09-28
122,삼산주공미래타운3,인천광역시 부평구 삼산1동 390-6,인천광역시 부평구 부평북로 463,22,12,946,2000-07-06,2021-09-28
123,삼산주공미래타운2,인천광역시 부평구 삼산1동 388-7,인천광역시 부평구 부평북로 432,20,6,684,2000-08-12,2021-09-28
124,삼산주공미래타운4,인천광역시 부평구 삼산1동 389-8,인천광역시 부평구 영성중로 57,22,10,968,2000-09-30,2021-09-28
125,벽산블루밍,인천광역시 부평구 삼산1동 170-1외2,인천광역시 부평구 후정동로 12,15,6,412,2005-12-22,2021-09-28
126,삼산엠코타운,인천광역시 부평구 삼산1동 494,인천광역시 부평구 후정로 7,21,9,708,2007-08-14,2021-09-28
127,임광그대가,인천광역시 부평구 삼산1동 500,인천광역시 부평구 영성서로 10,15,9,393,2008-11-28,2021-09-28
128,삼산3휴먼시아,인천광역시 부평구 삼산1동 512,인천광역시 부평구 영성동로18번길 19,15,12,870,2010-06-22,2021-09-28
129,서해그랑블,인천광역시 부평구 삼산1동 513,인천광역시 부평구 영성동로18번길 20,31,4,454,2011-07-21,2021-09-28
130,삼산타운1(임대),인천광역시 부평구 삼산2동 440-1,인천광역시 부평구 굴포로 105,22,20,1873,2005-06-08,2021-09-28
131,삼산타운2,인천광역시 부평구 삼산2동 445-5,인천광역시 부평구 수변로 333,22,22,1622,2005-10-21,2021-09-28
132,삼산신성미소지움,인천광역시 부평구 삼산2동 448-1,인천광역시 부평구 수변로 334,25,14,1030,2005-05-03,2021-09-28
133,삼산타운4(임대),인천광역시 부평구 삼산2동 456-8,인천광역시 부평구 체육관로 111,15,15,1696,2004-07-14,2021-09-28
134,서해그랑블,인천광역시 부평구 삼산2동 454-4,인천광역시 부평구 굴포로 158,22,12,822,2004-08-02,2021-09-28
135,삼산타운6,인천광역시 부평구 삼산2동 454-13,인천광역시 부평구 체육관로 57,20,10,784,2004-08-04,2021-09-28
