BAS_ID,BAS_AR,도로길이고려_전체통합도,도로길이고려_국부통합도_R3,기초구역평균_전체통합도,기초구역평균_국부통합도_R3,도로율,평균 도로 길이,아파트시세변화_차분평균,평균영업기간,평균폐업기간,평균최근접역거리,평균최근접정류장거리,건물노후도,공동주택 비율,근린생활시설 비율,단독주택 비율,아파트 가구수,외식업매출월평균변화량,서비스업매출월평균변화량,소매업매출월평균변화량,외식업매출비율,서비스업매출비율,소매업매출비율,외식업종다양성,서비스업종다양성,소매업종다양성,상가밀도,주중 / 주말,06 to 18 / 18 to 06,개별공시지가 변화 차분평균,(주거인구+직장인구) / 유동인구,주거인구/직장인구,10_30 / 40_60,점포밀도
21393,0.061048,363.8393005,4206.544299,0.115029211,1.190807426,47.10946977,211.8615833,-880.0,106.36413757522614,127.50925754781666,0.4041967337321076,0.058578003646458,424.3450704,10.0,28.7,9.5,0,28140853.36,3230900.966,1855380.286,0.345050472,0.1691069,0.485842628,1.966688141972852,2.503817362449956,1.7227070475274755,8714.454199973792,2.035561387,2.170782351,233783.7838,0.176439252,1.479354505,0.674558751,278.2687969924812
21394,0.053245,289.1760228,3356.356937,0.115742684,1.271320098,62.53529238,136.8766875,0.0,116.44624292840584,91.64468355302223,0.2954166645579488,0.06077497988696,414.4416667,0.0,48.7,2.7,0,-10858547.69,7953314.6,-17667312.46,0.369729734,0.236541207,0.393729059,2.153999598579521,2.527924790623357,1.8556237318358573,12451.873415344164,2.020573315,1.784640857,435374.0741,0.14856462,0.432485863,1.03496155,355.3800904977376
21395,0.093149,425.0790311,4527.835311,0.111271251,1.152568183,48.34361328,151.4246957,12.84725,126.34015832127756,106.3059025940708,0.3154376143827265,0.0550456928351105,315.0078125,8.5,74.9,1.4,0,40060980.44,-3237429.483,-1383250.835,0.693727564,0.198115625,0.10815681,1.6263386077175388,2.529861864537127,2.017390100167185,6312.46712256707,1.997961179,1.508656349,434776.1628,0.171510672,0.307252598,0.965812583,247.52551020408163
21396,0.052951,304.3651848,3643.30125,0.115693899,1.276438307,52.73691084,188.2823333,-393.8332,123.72195494682795,103.8793208867143,0.5509042037447386,0.0682330139153302,290.6451613,27.8,13.8,1.9,0,3595978.75,-1862747.952,1269936.901,0.538075642,0.225988885,0.235935473,1.602017891497454,2.2610292859109418,2.488341859351213,2908.349228532039,2.069360922,1.507291264,284337.0588,0.342065704,4.65288564,0.632847809,95.22727272727272
21397,0.262453,938.4161367,10802.66308,0.10937181,1.19771213,32.13314684,116.2481884,196.8626071,136.3451579641126,131.30920277280597,0.8955483070870125,0.0688116995268603,337.4903339,37.3,20.5,16.2,196,3213588.738,717452.0,12271708.39,0.1882937,0.194360186,0.617346114,2.2196046906839526,2.222450029712881,2.5264916382615508,1249.7475738513183,2.080488522,1.3225322,130122.8007,0.478046605,5.710725189,0.586550605,47.6219512195122
21398,0.199804,498.270955,5227.010855,0.104757775,1.082414996,27.0389815,120.9349737,-154.30475,132.59677870403158,99.84833950917857,0.8079860881394433,0.0580336876616278,315.4025424,56.3,22.7,12.9,1120,-3014680.323,923247.8034,-942062.8966,0.347057849,0.264676769,0.388265381,1.9649287910832087,2.590223830448726,2.367161755046657,1005.9858661488258,2.075423033,1.624670278,52987.88546,0.61939341,5.758591892,0.565799073,45.57213930348259
21399,0.08293,439.1282913,4867.099733,0.111919626,1.143305964,47.6172563,173.2104211,317.9723,131.54947592418918,98.52084574416666,0.7301048204102486,0.0612425134688868,278.0,46.8,8.8,6.8,0,-182613.6276,16001540.21,4406815.388,0.123799891,0.55642397,0.319776139,1.6923894425788777,2.575979552356688,2.3036165419091184,1869.0461835282767,2.105169641,1.458527807,171090.0,0.555715389,3.415682762,0.61009698,61.52258064516129
21400,0.14487,631.4170346,7160.199314,0.108838151,1.176720451,33.8319581,156.6273235,402.3717692,99.48196061394665,126.74252338892683,0.6535031798509372,0.058446355565347,253.9150327,55.6,5.4,4.1,30,-1191138.655,976153.1414,-4610347.454,0.164462846,0.171333243,0.664203911,2.0202996354853884,2.4247329679206366,2.5569431749956224,1732.5878373714363,2.06845859,1.400365872,112090.8991,0.832355361,8.218370335,0.657863086,67.79282868525897
21401,0.215591,637.0114342,4914.990606,0.119411727,1.1062907,18.16797007,176.982,2074.834,70.69414520064556,113.20854344282857,0.4029991613462104,0.0708217784109897,294.6363636,23.8,39.5,28.9,1164,-2868278.066,-936055.8931,-14904102.44,0.190979926,0.115407021,0.693613053,2.129164473488049,2.433523923721319,2.5866665409831744,709.6771201024161,2.205509577,1.542972563,63148.54369,0.325649968,4.375587883,0.63541642,43.25490196078432
21402,0.08953,241.0936188,2807.177458,0.107978129,1.169414109,27.10175282,163.2157692,416.093,127.24837916556989,83.73193573896154,0.3751162444696879,0.0471265241195953,308.1666667,45.1,23.0,31.9,1103,-686508.5517,1458870.503,824578.869,0.41347358,0.336476553,0.250049867,1.981094897650044,2.411676739971425,2.25810804096198,1396.180051379426,2.214000445,1.93499876,40189.47368,0.29471041,7.533804548,0.595368764,56.216
