대지위치,건물명,연면적,주용도코드,주용도코드명,사용승인일,건물노후도
인천광역시 부평구 부평동 437-14번지,미성쉐르빌,800.68,02000,공동주택,2002-07-24,205
인천광역시 부평구 부평동 437-16번지,동호 팰리스 아파트,1812.5,02000,공동주택,2003-11-27,189
인천광역시 부평구 부평동 437-17번지,,2.4,01000,단독주택,1977-09-30,497
인천광역시 부평구 부평동 437-2번지,대경이즈뷰아파트,9520.67,02000,공동주택,2005-05-20,172
인천광역시 부평구 부평동 437-4번지,,63.47,01000,단독주택,1970-10-20,579
인천광역시 부평구 부평동 437-4번지,,81.27,04000,제2종근린생활시설,1995-03-16,292
인천광역시 부평구 부평동 437-6번지,,523.77,04000,제2종근린생활시설,1994-06-08,301
인천광역시 부평구 부평동 437-7번지,킹스빌,735.1,02000,공동주택,2010-03-09,115
인천광역시 부평구 부평동 437-8번지,로체펠리스,638.8,02000,공동주택,2010-03-19,115
인천광역시 부평구 부평동 437-9번지,엘비 빌라트,653.56,02000,공동주택,2003-02-04,199
인천광역시 부평구 부평동 438-15번지,하이네스빌,567.35,02000,공동주택,2001-04-09,220
인천광역시 부평구 부평동 438-18번지,로뎀레뷰,4111.03,14000,업무시설,2016-02-04,46
인천광역시 부평구 부평동 438-1번지,백조 주상 복합 아파트,6387.955,02000,공동주택,1997-06-12,265
인천광역시 부평구 부평동 438-26번지,신대림아파트,810.2,02000,공동주택,2002-08-01,205
인천광역시 부평구 부평동 438-28번지,명신아파트,398.03,02000,공동주택,2002-07-24,205
인천광역시 부평구 부평동 438-29번지,대경아파트,749.85,02000,공동주택,2002-02-07,210
인천광역시 부평구 부평동 438-2번지,한미네쌍스아파트,966.68,02000,공동주택,2002-06-15,206
인천광역시 부평구 부평동 438-30번지,청도빌,416.5,02000,공동주택,2009-12-14,118
인천광역시 부평구 부평동 438-31번지,,105.62,01000,단독주택,1974-08-13,534
인천광역시 부평구 부평동 438-33번지,대경아파트,358.78,02000,공동주택,2002-02-04,210
인천광역시 부평구 부평동 438-34번지,,304.24,01000,단독주택,2003-07-11,194
인천광역시 부평구 부평동 438-35번지,,355.12,01000,단독주택,1993-12-16,306
인천광역시 부평구 부평동 438-37번지,,147.33,01000,단독주택,1978-10-19,485
인천광역시 부평구 부평동 438-38번지,,904.45,02000,공동주택,2002-08-24,204
인천광역시 부평구 부평동 438-40번지,월드원룸,503.65,02000,공동주택,2002-10-15,202
인천광역시 부평구 부평동 438-46번지,정민그린아파트,535.72,02000,공동주택,2002-12-17,200
