BAS_ID,open_15cluster,close_15cluster,주거인구/직장인구,아파트 가구수,단독주택 비율,서비스업매출비율,외식업매출비율,근린생활시설 비율,평균최근접역거리,(주거인구+직장인구) / 유동인구,공동주택 비율,평균 도로 길이,도로길이고려_전체통합도,평균최근접정류장거리,점포밀도,도로율,상가밀도
21361,13,9.0,L_mL_m,L_mL_m,L_mH_p,L_mH_p,L_pL_m,L_mH_p,H_pH_p,H_pH_p,L_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mH_m,H_mL_m,L_pH_p
21362,13,9.0,L_mL_m,L_mL_m,L_mH_p,L_mH_p,L_pL_m,L_mH_p,H_pH_p,H_pH_p,L_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mL_m,H_mL_m,L_pH_p
21363,13,3.0,L_mH_m,L_mL_m,L_mH_p,L_mH_p,L_pL_m,L_mH_p,H_pH_p,H_pH_p,L_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mH_m,H_mL_m,L_pH_p
21364,0,5.0,H_mH_m,L_mL_m,H_mL_p,H_mH_p,L_pH_m,L_mH_p,H_pL_p,H_pH_p,H_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mH_m,H_mL_m,L_pL_p
21365,0,5.0,H_mH_m,L_mL_m,H_mL_p,H_mH_p,L_pH_m,L_mH_p,H_pL_p,H_pH_p,H_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mH_m,H_mH_m,L_pL_p
21366,0,5.0,H_mH_m,L_mL_m,H_mL_p,H_mL_p,L_pH_m,L_mH_p,H_pL_p,H_pH_p,H_mH_p,H_mL_m,L_pH_p,H_mH_m,H_mH_m,H_mH_m,L_pL_p
21367,13,14.0,L_mL_m,L_mL_m,L_mH_p,L_mH_p,H_pL_m,L_mH_p,H_pH_p,H_pH_p,L_mH_p,L_mL_m,H_pH_p,L_mH_m,H_mL_m,H_mL_m,L_pH_p
21368,6,14.0,L_mL_m,H_mL_m,L_mH_p,L_mH_p,H_pL_m,L_mH_p,H_pH_p,H_pH_p,L_mH_p,L_mL_m,H_pH_p,L_mH_m,H_mL_m,H_mL_m,L_pH_p
21369,13,14.0,L_mL_m,L_mL_m,L_mH_p,L_mH_p,L_pL_m,L_mH_p,H_pH_p,H_pH_p,L_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mL_m,H_mL_m,L_pH_p
21370,6,9.0,L_mL_m,H_mL_m,L_mH_p,L_mH_p,L_pL_m,L_mH_p,H_pH_p,H_pH_p,L_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mL_m,H_mL_m,L_pH_p
21371,6,14.0,L_mL_m,H_mL_m,L_mH_p,L_mH_p,H_pL_m,L_mH_p,H_pH_p,H_pH_p,L_mH_p,L_mL_m,H_pH_p,L_mH_m,H_mL_m,H_mL_m,L_pH_p
21373,12,-1.0,,,,,,,,,,,,,,,
21374,12,4.0,L_mL_m,H_mL_m,L_mH_p,L_mH_p,H_pL_m,H_mL_p,H_pH_p,L_pH_p,L_mH_p,L_mH_m,H_pH_p,L_mH_m,H_mL_m,L_mL_m,L_pH_p
21376,6,3.0,L_mL_m,H_mL_m,L_mH_p,L_mH_p,L_pL_m,L_mH_p,H_pH_p,H_pH_p,L_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mL_m,H_mL_m,L_pH_p
21377,13,3.0,L_mL_m,L_mL_m,L_mH_p,L_mH_p,L_pL_m,L_mL_p,H_pH_p,H_pH_p,L_mH_p,H_mL_m,H_pH_p,L_mH_m,H_mL_m,H_mL_m,L_pH_p
21378,0,5.0,H_mH_m,L_mL_m,H_mL_p,H_mL_p,L_pH_m,L_mL_p,H_pL_p,H_pH_p,H_mH_p,H_mL_m,L_pH_p,L_mH_m,H_mH_m,H_mH_m,H_pL_p
21379,0,0.0,H_mH_m,L_mL_m,H_mL_p,H_mL_p,L_pH_m,L_mL_p,L_pL_p,H_pH_p,H_mH_p,H_mL_m,L_pL_p,H_mH_m,H_mH_m,H_mH_m,H_pL_p
21380,11,11.0,L_mL_m,H_mL_m,L_mH_p,L_mH_p,H_pL_m,H_mL_p,H_pH_p,L_pH_p,L_mH_p,L_mL_m,H_pH_p,L_mH_m,H_mL_m,H_mL_m,L_pH_p
21381,11,-1.0,,,,,,,,,,,,,,,
21382,11,11.0,L_mL_m,H_mL_m,L_mH_p,L_mH_p,H_pL_m,H_mL_p,H_pH_p,L_pH_p,L_mH_p,L_mL_m,H_pH_p,L_mH_m,H_mL_m,H_mL_m,L_pH_p
21383,12,11.0,L_mL_m,H_mL_m,L_mH_p,L_mH_p,H_pL_m,H_mL_p,H_pH_p,L_pH_p,L_mH_p,L_mL_m,H_pH_p,L_mH_m,H_mL_m,H_mL_m,L_pH_p
21384,12,6.0,H_mL_m,H_mL_m,L_mH_p,L_mH_p,H_pL_m,H_mL_p,L_pH_p,L_pH_p,L_mL_p,L_mH_m,L_pH_p,L_mL_m,H_mL_m,H_mL_m,L_pH_p
21385,12,11.0,L_mL_m,H_mL_m,L_mH_p,L_mH_p,H_pL_m,H_mL_p,H_pH_p,L_pH_p,L_mL_p,L_mH_m,H_pH_p,L_mL_m,H_mL_m,L_mL_m,L_pH_p
21386,6,-1.0,,,,,,,,,,,,,,,
21387,13,1.0,H_mL_m,H_mL_m,H_mH_p,L_mL_p,L_pH_m,H_mL_p,L_pL_p,L_pH_p,H_mL_p,L_mL_m,L_pL_p,L_mH_m,L_mL_m,H_mH_m,H_pH_p
21388,0,1.0,H_mH_m,L_mL_m,H_mL_p,H_mL_p,L_pH_m,H_mL_p,L_pL_p,L_pL_p,H_mL_p,L_mH_m,L_pL_p,H_mH_m,L_mL_m,H_mH_m,H_pL_p
21389,1,1.0,H_mH_m,H_mL_m,H_mH_p,L_mL_p,H_pH_m,H_mL_p,L_pL_p,L_pL_p,H_mL_p,L_mH_m,L_pL_p,H_mH_m,L_mL_m,H_mH_m,H_pH_p
21390,0,1.0,H_mH_m,L_mL_m,H_mL_p,H_mL_p,L_pH_m,H_mL_p,L_pL_p,H_pL_p,H_mL_p,L_mH_m,L_pL_p,H_mH_m,L_mL_m,H_mH_m,H_pL_p
21391,7,1.0,H_mH_m,L_mH_m,H_mL_p,H_mL_p,L_pH_m,H_mL_p,L_pL_p,H_pL_p,H_mL_p,L_mH_m,L_pL_p,H_mH_m,L_mH_m,H_mH_m,H_pL_p
21392,7,1.0,H_mH_m,L_mH_m,H_mL_p,H_mL_p,L_pH_m,H_mL_p,L_pL_p,L_pL_p,H_mL_p,L_mH_m,L_pL_p,H_mH_m,L_mH_m,H_mH_m,H_pL_p
21393,0,1.0,H_mH_m,L_mH_m,H_mL_p,L_mL_p,L_pH_m,H_mL_p,L_pL_p,L_pL_p,H_mL_p,L_mH_m,L_pL_p,H_mH_m,L_mL_m,H_mH_m,H_pL_p
21394,0,1.0,H_mH_m,L_mH_m,H_mL_p,L_mL_p,H_pH_m,H_mL_p,L_pL_p,L_pL_p,H_mL_p,L_mH_m,L_pL_p,H_mH_m,L_mL_m,H_mH_m,H_pH_p
21395,7,1.0,H_mH_m,L_mH_m,H_mL_p,L_mL_p,H_pH_m,H_mL_p,L_pL_p,L_pL_p,H_mL_p,L_mH_m,L_pL_p,H_mH_m,L_mL_m,L_mH_m,H_pL_p
