address,latitude,longitude,주용도코드명,연면적
인천광역시 부평구 부평동 10-578번지,37.5054849,126.7301778,단독주택,381.84
인천광역시 부평구 부평동 10-579번지,37.5054878,126.7300501,단독주택,298.92
인천광역시 부평구 부평동 10-580번지,37.5057125,126.7298847,단독주택,71.24000000000001
인천광역시 부평구 부평동 10-581번지,37.5056068,126.7298781,단독주택,77.0
인천광역시 부평구 부평동 10-582번지,37.5054995,126.7298726,제1종근린생활시설,297.53
인천광역시 부평구 부평동 10-583번지,37.5051854,126.7298542,단독주택,198.49
인천광역시 부평구 부평동 10-584번지,37.5052791,126.7301667,단독주택,344.0
인천광역시 부평구 부평동 10-585번지,37.505172,126.7301633,단독주택,387.54
인천광역시 부평구 부평동 10-586번지,37.5051772,126.7300288,단독주택,197.82
인천광역시 부평구 부평동 10-587번지,37.5052609,126.7305089,단독주택,323.47
인천광역시 부평구 부평동 10-588번지,37.5051584,126.7305024,단독주택,199.65
인천광역시 부평구 부평동 10-589번지,37.5051619,126.7303789,단독주택,196.11
인천광역시 부평구 부평동 10-590번지,37.5052423,126.7307914,제1종근린생활시설,683.98
인천광역시 부평구 부평동 10-591번지,37.5051373,126.730786,제2종근린생활시설,494.0378
인천광역시 부평구 부평동 10-592번지,37.5051423,126.7306677,단독주택,196.65
인천광역시 부평구 부평동 10-593번지,37.5039478,126.7281667,공동주택,269.61
인천광역시 부평구 부평동 10-596번지,37.5047345,126.729495,단독주택,653.94
인천광역시 부평구 부평동 10-597번지,37.5045107,126.729527,공동주택,901.43
인천광역시 부평구 부평동 10-601번지,37.5062138,126.7298174,단독주택,189.42
인천광역시 부평구 부평동 10-602번지,37.504276,126.726921,단독주택,71.34
인천광역시 부평구 부평동 10-606번지,37.5050037,126.729571,단독주택,295.06
인천광역시 부평구 부평동 10-607번지,37.5026799,126.7275467,단독주택,74.15
인천광역시 부평구 부평동 10-608번지,37.5025783,126.7275937,단독주택,174.84
인천광역시 부평구 부평동 10-609번지,37.5025863,126.7274907,단독주택,86.94
인천광역시 부평구 부평동 10-610번지,37.5043145,126.7264508,단독주택,204.78
인천광역시 부평구 부평동 10-611번지,37.5032539,126.7337529,단독주택,42.97
인천광역시 부평구 부평동 10-613번지,37.5025678,126.7280276,단독주택,127.9
인천광역시 부평구 부평동 10-614번지,37.5039715,126.7278553,공동주택,394.5
인천광역시 부평구 부평동 10-618번지,37.5051078,126.7292404,단독주택,279.93
인천광역시 부평구 부평동 10-619번지,37.505006,126.7292554,제1종근린생활시설,351.72
인천광역시 부평구 부평동 10-621번지,37.5040453,126.7270001,공동주택,801.83
인천광역시 부평구 부평동 10-622번지,37.5038645,126.7287063,단독주택,199.32
인천광역시 부평구 부평동 10-623번지,37.504828,126.7292808,단독주택,307.35
인천광역시 부평구 부평동 10-624번지,37.5047149,126.729305,단독주택,231.04
인천광역시 부평구 부평동 10-628번지,37.5046221,126.7318532,단독주택,58.09
