,대지위치,주용도코드명,연면적
314,인천광역시 부평구 갈산동 172-11번지,단독주택,170.28
315,인천광역시 부평구 갈산동 172-12번지,공동주택,494.88
316,인천광역시 부평구 갈산동 172-13번지,공동주택,823.98
317,인천광역시 부평구 갈산동 172-15번지,공동주택,311.69
318,인천광역시 부평구 갈산동 172-16번지,공동주택,311.69
319,인천광역시 부평구 갈산동 172-17번지,제1종근린생활시설,198.36
320,인천광역시 부평구 갈산동 172-18번지,제2종근린생활시설,369.45
321,인천광역시 부평구 갈산동 172-19번지,제1종근린생활시설,33.05
322,인천광역시 부평구 갈산동 172-2번지,제2종근린생활시설,488.96000000000004
323,인천광역시 부평구 갈산동 172-3번지,단독주택,120.25999999999999
324,인천광역시 부평구 갈산동 172-5번지,제1종근린생활시설,68.4
325,인천광역시 부평구 갈산동 172-7번지,제2종근린생활시설,1382.73
326,인천광역시 부평구 갈산동 172-9번지,단독주택,192.9
327,인천광역시 부평구 갈산동 172번지,제2종근린생활시설,825.48
328,인천광역시 부평구 갈산동 174-36번지,단독주택,69.81
329,인천광역시 부평구 갈산동 175-13번지,제1종근린생활시설,12.5
330,인천광역시 부평구 갈산동 175-13번지,제2종근린생활시설,1699.96
331,인천광역시 부평구 갈산동 175-1번지,업무시설,479.69
332,인천광역시 부평구 갈산동 175-23번지,단독주택,66.05
333,인천광역시 부평구 갈산동 175-24번지,업무시설,723.77
334,인천광역시 부평구 갈산동 175-5번지,제1종근린생활시설,308.76
335,인천광역시 부평구 갈산동 175-6번지,단독주택,160.73
336,인천광역시 부평구 갈산동 175-9번지,단독주택,1.5
337,인천광역시 부평구 갈산동 175-9번지,제2종근린생활시설,113.7
338,인천광역시 부평구 갈산동 175번지,제2종근린생활시설,984.86
339,인천광역시 부평구 갈산동 176-11번지,제2종근린생활시설,1181.2
340,인천광역시 부평구 갈산동 176-13번지,제2종근린생활시설,596.57
341,인천광역시 부평구 갈산동 176-14번지,공동주택,659.52
342,인천광역시 부평구 갈산동 176-15번지,제2종근린생활시설,639.3
343,인천광역시 부평구 갈산동 176-16번지,공동주택,378.2
344,인천광역시 부평구 갈산동 176-17번지,공동주택,658.92
345,인천광역시 부평구 갈산동 176-18번지,공동주택,658.92
346,인천광역시 부평구 갈산동 176-19번지,공동주택,600.21
347,인천광역시 부평구 갈산동 176-4번지,공동주택,656.61
348,인천광역시 부평구 갈산동 176-5번지,제2종근린생활시설,119.6
349,인천광역시 부평구 갈산동 176-6번지,공동주택,649.08
350,인천광역시 부평구 갈산동 176-7번지,공동주택,649.13
351,인천광역시 부평구 갈산동 176-8번지,공동주택,598.74
352,인천광역시 부평구 갈산동 176-9번지,제1종근린생활시설,1208.4
353,인천광역시 부평구 갈산동 176번지,공동주택,659.65
354,인천광역시 부평구 갈산동 177-10번지,제2종근린생활시설,1167.47
