대지위치,주용도코드명,연면적
인천광역시 부평구 갈산동 182-13번지,공동주택,366.0
인천광역시 부평구 갈산동 182-1번지,공동주택,13559.64
인천광역시 부평구 갈산동 182-1번지,제1종근린생활시설,235.84
인천광역시 부평구 갈산동 182-2번지,제2종근린생활시설,595.4
인천광역시 부평구 갈산동 182-3번지,제2종근린생활시설,643.28
인천광역시 부평구 갈산동 182-4번지,단독주택,597.6
인천광역시 부평구 갈산동 182-5번지,공동주택,598.58
인천광역시 부평구 갈산동 182-6번지,공동주택,598.58
인천광역시 부평구 갈산동 182-7번지,공동주택,597.33
인천광역시 부평구 갈산동 182-8번지,공동주택,583.79
인천광역시 부평구 갈산동 182번지,제2종근린생활시설,599.83
인천광역시 부평구 갈산동 183-1번지,공동주택,136.08
인천광역시 부평구 갈산동 183-4번지,공동주택,1173.63
인천광역시 부평구 갈산동 183번지,공동주택,1152.81
인천광역시 부평구 갈산동 184번지,업무시설,3379.26
인천광역시 부평구 갈산동 185-2번지,제1종근린생활시설,0.99
인천광역시 부평구 갈산동 185-4번지,제2종근린생활시설,288.47
인천광역시 부평구 갈산동 185-5번지,제2종근린생활시설,48.0
인천광역시 부평구 갈산동 185번지,제1종근린생활시설,1998.17
인천광역시 부평구 갈산동 18번지,공동주택,999.43
인천광역시 부평구 갈산동 19-3번지,공동주택,591.68
인천광역시 부평구 갈산동 19-6번지,공동주택,448.3
인천광역시 부평구 갈산동 19-7번지,공동주택,463.26
인천광역시 부평구 갈산동 19-8번지,공동주택,514.84
인천광역시 부평구 갈산동 194-16번지,단독주택,12.0
인천광역시 부평구 갈산동 194번지,단독주택,98.28999999999999
인천광역시 부평구 갈산동 2-3번지,제1종근린생활시설,1622.15
인천광역시 부평구 갈산동 2-5번지,공동주택,1843.24
인천광역시 부평구 갈산동 20-1번지,공동주택,856.27
인천광역시 부평구 갈산동 20번지,공동주택,659.25
인천광역시 부평구 갈산동 21-2번지,단독주택,234.27
인천광역시 부평구 갈산동 21-7번지,단독주택,289.23
인천광역시 부평구 갈산동 21번지,공동주택,630.32
인천광역시 부평구 갈산동 226-5번지,단독주택,74.51
인천광역시 부평구 갈산동 243-1번지,단독주택,1.0
인천광역시 부평구 갈산동 243-1번지,제1종근린생활시설,293.5
인천광역시 부평구 갈산동 26-2번지,공동주택,654.1
인천광역시 부평구 갈산동 27-2번지,공동주택,659.75
인천광역시 부평구 갈산동 277-12번지,단독주택,490.5
인천광역시 부평구 갈산동 28-10번지,제1종근린생활시설,69.73
인천광역시 부평구 갈산동 28-11번지,단독주택,294.27
인천광역시 부평구 갈산동 28-13번지,단독주택,346.63
