시도명,시군구명,법정읍면동명,법정리명,본번,부번,기초구역번호,2017,2018,2019
인천광역시,부평구,부평동,,534,60,21404,"3,424,000 원","3,732,000 원","4,134,000 원"
인천광역시,부평구,부평동,,534,182,21404,"3,110,000 원","3,390,000 원","3,755,000 원"
인천광역시,부평구,부평동,,341,134,21389,"2,690,000 원","2,930,000 원","3,250,000 원"
인천광역시,부평구,부평동,,341,133,21389,"2,690,000 원","2,930,000 원","3,250,000 원"
인천광역시,부평구,부평동,,534,61,21404,"3,110,000 원","3,390,000 원","3,755,000 원"
인천광역시,부평구,부평동,,341,132,21389,"2,687,000 원","2,931,000 원","3,161,000 원"
인천광역시,부평구,부평동,,341,131,21389,"2,702,000 원","2,947,000 원","3,179,000 원"
인천광역시,부평구,부평동,,534,59,21404,"2,687,000 원","2,931,000 원","3,161,000 원"
인천광역시,부평구,부평동,,341,130,21389,"2,980,000 원","3,250,000 원","3,505,000 원"
인천광역시,부평구,부평동,,341,33,21389,"2,771,000 원","3,022,000 원","3,259,000 원"
인천광역시,부평구,부평동,,534,48,21404,"3,830,000 원","4,616,000 원","5,308,000 원"
인천광역시,부평구,부평동,,341,25,21389,"5,002,000 원","5,301,000 원","5,718,000 원"
인천광역시,부평구,부평동,,534,11,21404,"5,515,000 원","5,845,000 원","6,305,000 원"
인천광역시,부평구,부평동,,546,64,21389,"5,515,000 원","5,845,000 원","6,305,000 원"
인천광역시,부평구,부평동,,534,14,21404,"8,223,000 원","6,226,000 원","6,531,000 원"
인천광역시,부평구,부평동,,534,15,21404,"8,223,000 원","6,226,000 원","6,531,000 원"
인천광역시,부평구,부평동,,534,16,21404,"8,223,000 원","6,226,000 원","6,531,000 원"
인천광역시,부평구,부평동,,534,17,21404,"7,575,000 원","7,805,000 원","7,410,000 원"
인천광역시,부평구,부평동,,546,62,21389,"5,509,000 원","5,839,000 원","6,298,000 원"
인천광역시,부평구,부평동,,534,19,21404,"7,575,000 원","7,805,000 원","7,410,000 원"
인천광역시,부평구,부평동,,534,198,21404,"7,575,000 원","7,805,000 원","7,410,000 원"
인천광역시,부평구,부평동,,534,20,21404,"7,575,000 원","7,805,000 원","7,410,000 원"
인천광역시,부평구,부평동,,534,21,21404,"7,575,000 원","7,805,000 원","7,410,000 원"
인천광역시,부평구,부평동,,534,22,21404,0,"7,805,000 원","7,410,000 원"
인천광역시,부평구,부평동,,126,10,21404,0,"1,135,000 원","1,383,000 원"
인천광역시,부평구,부평동,,549,78,21389,"7,883,000 원","8,120,000 원","8,120,000 원"
인천광역시,부평구,부평동,,549,79,21389,"7,094,000 원","7,308,000 원","7,308,000 원"
인천광역시,부평구,부평동,,549,45,21389,"7,094,000 원","7,308,000 원","7,308,000 원"
인천광역시,부평구,부평동,,534,26,21404,"7,575,000 원","7,805,000 원","7,410,000 원"
인천광역시,부평구,부평동,,549,44,21389,"7,024,000 원","7,236,000 원","7,236,000 원"
인천광역시,부평구,부평동,,534,27,21404,"7,641,000 원","7,871,000 원","7,871,000 원"
인천광역시,부평구,부평동,,549,43,21389,"7,805,000 원","8,040,000 원","8,040,000 원"
인천광역시,부평구,부평동,,126,10,21389,0,"1,135,000 원","1,383,000 원"
인천광역시,부평구,부평동,,549,42,21389,"7,024,000 원","7,236,000 원","7,236,000 원"
인천광역시,부평구,부평동,,549,41,21389,"7,024,000 원","7,236,000 원","7,236,000 원"
인천광역시,부평구,부평동,,159,15,21395,"8,005,000 원","8,725,000 원","9,420,000 원"
인천광역시,부평구,부평동,,159,25,21395,"8,005,000 원","8,725,000 원","9,420,000 원"
인천광역시,부평구,부평동,,159,23,21395,"7,060,000 원","7,695,000 원","8,308,000 원"
인천광역시,부평구,부평동,,185,23,21404,"7,692,000 원","8,381,000 원","9,050,000 원"
인천광역시,부평구,부평동,,185,24,21404,"7,052,000 원","7,686,000 원","8,299,000 원"
인천광역시,부평구,부평동,,159,22,21394,"7,543,000 원","8,224,000 원","9,448,000 원"
인천광역시,부평구,부평동,,126,10,21395,0,"1,135,000 원","1,383,000 원"
