연번,아파트명,소재지지번주소,소재지도로명주소,층수,동수,세대수,사용검사,데이터기준일자,address,latitude,longitude
103,동아,인천광역시 부평구 갈산2동 369,인천광역시 부평구 갈월동로 42,18,2,280,1993-06-02,2019-09-06,인천광역시 부평구 갈산2동 369,37.5108469,126.7302089
103,동아,인천광역시 부평구 갈산2동 369,인천광역시 부평구 갈월동로 42,18,2,280,1993-06-02,2019-09-06,인천광역시 부평구 갈산2동 369,37.5108469,126.7302089
103,동아,인천광역시 부평구 갈산2동 369,인천광역시 부평구 갈월동로 42,18,2,280,1993-06-02,2019-09-06,인천광역시 부평구 갈산2동 369,37.5108469,126.7302089
104,팬더,인천광역시 부평구 갈산2동 369,인천광역시 부평구 갈월동로 34,18,2,280,1993-05-12,2019-09-06,인천광역시 부평구 갈산2동 369,37.5108469,126.7302089
104,팬더,인천광역시 부평구 갈산2동 369,인천광역시 부평구 갈월동로 34,18,2,280,1993-05-12,2019-09-06,인천광역시 부평구 갈산2동 369,37.5108469,126.7302089
104,팬더,인천광역시 부평구 갈산2동 369,인천광역시 부평구 갈월동로 34,18,2,280,1993-05-12,2019-09-06,인천광역시 부평구 갈산2동 369,37.5108469,126.7302089
105,갈산주공1단지(근로복지),인천광역시 부평구 갈산2동 359,인천광역시 부평구 굴포로 81,15,9,1650,1992-06-29,2019-09-06,인천광역시 부평구 갈산2동 359,37.5129519,126.7305748
106,갈산주공2단지(임대),인천광역시 부평구 갈산2동 360,인천광역시 부평구 주부토로 206,15,5,1170,1992-05-30,2019-09-06,인천광역시 부평구 갈산2동 360,37.5133740,126.7273838
107,대동1차,인천광역시 부평구 갈산2동 361-4,인천광역시 부평구 주부토로 193,15,5,420,1992-11-27,2019-09-06,인천광역시 부평구 갈산2동 361-4,37.5123558,126.7245250
108,대동2차,인천광역시 부평구 갈산2동 361-3,인천광역시 부평구 주부토로 201,18,4,623,1993-05-07,2019-09-06,인천광역시 부평구 갈산2동 361-3,37.5131399,126.7247207
109,삼성홈타운(호림재건축),인천광역시 부평구 갈산동 182-1,인천광역시 부평구 부평대로246번길 7,19,1,125,2011-07-01,2019-09-06,인천광역시 부평구 갈산동 182-1,37.5137170,126.7216835
110,동남,인천광역시 부평구 삼산1동 206-2,인천광역시 부평구 후정동로25번길 3-10,6,2,138,1989-12-07,2019-09-06,인천광역시 부평구 삼산1동 206-2,37.5196526,126.7365959
111,정광,인천광역시 부평구 삼산1동 205,인천광역시 부평구 후정동로 17,6,3,240,1989-05-16,2019-09-06,인천광역시 부평구 삼산1동 205,37.5191216,126.7373128
112,한국,인천광역시 부평구 삼산1동 254,인천광역시 부평구 평천로 395,6,3,174,1990-08-07,2019-09-06,인천광역시 부평구 삼산1동 254,37.5180540,126.7345004
113,주공(임대),인천광역시 부평구 삼산1동 157,인천광역시 부평구 평천로 447,15,6,1764,1991-08-26,2019-09-06,인천광역시 부평구 삼산1동 157,37.5178560,126.7401198
114,삼보,인천광역시 부평구 삼산1동 57,인천광역시 부평구 후정동로 43,15,3,630,1990-11-23,2019-09-06,인천광역시 부평구 삼산1동 57,37.5213519,126.7373690
115,부영,인천광역시 부평구 삼산1동 74-2,인천광역시 부평구 후정로 35,5,6,280,1984-08-30,2019-09-06,인천광역시 부평구 삼산1동 74-2,37.5205483,126.7368162
116,대보,인천광역시 부평구 삼산1동 191,인천광역시 부평구 후정동로 5,5,9,340,1985-05-03,2019-09-06,인천광역시 부평구 삼산1동 191,37.5180915,126.7368310
117,광명12차,인천광역시 부평구 삼산1동 359,인천광역시 부평구 후정동로 63,6,6,456,1990-07-02,2019-09-06,인천광역시 부평구 삼산1동 359,37.5232880,126.7372057
118,광명13차,인천광역시 부평구 삼산1동 359-2,인천광역시 부평구 후정동로 68,6,3,168,1990-10-30,2019-09-06,인천광역시 부평구 삼산1동 359-2,37.5233291,126.7388061
119,현대,인천광역시 부평구 삼산1동 40-1,인천광역시 부평구 부평북로 407,25,2,330,1995-05-17,2019-09-06,인천광역시 부평구 삼산1동 40-1,37.5229266,126.7394340
120,삼산주공미래타운5,인천광역시 부평구 삼산1동 393-4,인천광역시 부평구 영성중로 16,20,9,620,2000-05-06,2019-09-06,인천광역시 부평구 삼산1동 393-4,37.5176116,126.7453668
121,삼산주공미래타운1,인천광역시 부평구 삼산1동 387-2,인천광역시 부평구 부평북로 431,20,7,608,2000-06-07,2019-09-06,인천광역시 부평구 삼산1동 387-2,37.5228167,126.7418804
122,삼산주공미래타운3,인천광역시 부평구 삼산1동 390-6,인천광역시 부평구 부평북로 463,22,12,946,2000-07-06,2019-09-06,인천광역시 부평구 삼산1동 390-6,37.5227464,126.7453224
123,삼산주공미래타운2,인천광역시 부평구 삼산1동 388-7,인천광역시 부평구 부평북로 432,20,6,684,2000-08-12,2019-09-06,인천광역시 부평구 삼산1동 388-7,37.5209730,126.7416438
124,삼산주공미래타운4,인천광역시 부평구 삼산1동 389-8,인천광역시 부평구 영성중로 57,22,10,968,2000-09-30,2019-09-06,인천광역시 부평구 삼산1동 389-8,37.5208277,126.7440780
125,벽산블루밍,인천광역시 부평구 삼산1동 170-1외2,인천광역시 부평구 후정동로 12,15,6,412,2005-12-22,2019-09-06,인천광역시 부평구 삼산1동 170-1외2,37.5184960,126.7384670
126,삼산엠코타운,인천광역시 부평구 삼산1동 494,인천광역시 부평구 후정로 7,21,9,708,2007-08-14,2019-09-06,인천광역시 부평구 삼산1동 494,37.5212248,126.7341486
127,임광그대가,인천광역시 부평구 삼산1동 500,인천광역시 부평구 영성서로 10,15,9,393,2008-11-28,2019-09-06,인천광역시 부평구 삼산1동 500,37.5189592,126.7438480
